Weight,Height,Age,Gender,Goal,Activity_Level,Water_Intake(L),Protein_Intake(g),Diet_Plan,Food_Items
76.21780831931537,159.25664644193097,45,Female,Maintenance,Moderate,4.0,121.9,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
116.55000144869413,177.0950473689179,24,Male,Maintenance,Active,8.2,186.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
101.23957592679835,193.64729179382041,52,Female,Fat Loss,Active,7.1,121.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
91.90609389379256,186.61124432047805,45,Male,Fat Loss,Active,6.4,110.3,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
60.921304830970556,190.32805739307247,31,Female,Maintenance,Sedentary,2.6,97.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
60.91961642353419,182.93916833553587,27,Male,Muscle Gain,Sedentary,2.6,121.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
54.06585285177396,184.61382822589263,33,Female,Fat Loss,Moderate,2.8,64.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
110.63233020424546,192.45978257826596,33,Male,Muscle Gain,Sedentary,4.6,221.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
92.07805082202461,162.4834004429593,48,Female,Fat Loss,Active,6.4,110.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
99.56508044572318,174.471248182157,59,Female,Fat Loss,Active,7.0,119.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
51.44091460070617,161.0604720909801,42,Female,Fat Loss,Sedentary,2.2,61.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
117.8936896513396,199.38340039983234,30,Female,Fat Loss,Moderate,6.2,141.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
108.27098485602951,197.20296698433066,23,Female,Muscle Gain,Moderate,5.7,216.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
64.86373774747933,151.9713405684253,26,Female,Fat Loss,Sedentary,2.7,77.8,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
62.72774770449704,185.2787586257844,53,Female,Maintenance,Moderate,3.3,100.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
